"","predict.object...model1..newdata...data.frame.datatest.."
"169",186819.664173934
"170",324487.191679709
"171",111428.955224913
"172",130450.519875228
"173",175531.2694241
"174",232963.379143765
"175",186989.778288623
"176",393094.646766028
"177",113212.123117156
"178",101829.499608334
"179",NA
"180",39034.1688911093
"181",11617.0670185488
"182",309396.974542382
"183",164699.113868059
"184",135478.7403622
"185",196367.715530758
"186",489270.335211271
"187",267257.840154455
"188",75454.4163788516
"189",258078.369640526
"190",91752.7898867109
"191",143018.599541411
"192",334500.809087381
"193",109789.035916332
"194",359171.555605991
"195",228502.01606604
"196",288975.1410598
"197",187261.196042506
"198",151346.693181947
"199",139255.581661751
"200",268773.376275326
"201",342002.294120641
"202",268142.966833521
"203",148108.736919978
"204",192481.233150532
"205",246094.869459806
"206",218804.742691752
"207",253154.563394857
"208",245712.361775366
"209",59445.7012233689
"210",208332.417596002
"211",74495.5931362399
"212",79658.9663553542
"213",101841.656847946
"214",289807.006995214
"215",290539.938415696
"216",211694.788261872
"217",86838.3600128192
"218",237362.09813654
"219",145338.910534124
"220",150616.354342022
"221",38488.36369802
"222",262685.404360161
"223",332799.410416526
"224",150303.779776837
"225",188600.51368066
"226",61094.5682657268
"227",76794.7948421013
"228",290881.034736432
"229",263255.971080554
"230",82561.6581553267
"231",164215.391628425
"232",276356.765203057
"233",137581.687107125
"234",246043.523806511
"235",309256.769456343
"236",210111.981678987
"237",189647.912950384
"238",190992.597033023
"239",277610.076017224
"240",350042.324317385
"241",186500.847558873
"242",308987.467454856
"243",508016.281180605
"244",247833.678384569
"245",184034.847029164
"246",218655.733538618
"247",270711.568751698
"248",66392.5372193627
"249",103158.182665704
"250",245362.871564497
"251",201410.192904716
"252",156034.372132629
"253",130444.473378628
"254",267199.384341525
"255",174765.631179692
"256",193157.026932218
"257",77333.3297959607
"258",83150.3246936155
"259",125812.440843784
"260",132100.173277935
"261",178871.505107832
"262",231654.125847053
"263",96125.0067151533
"264",152161.954813733
"265",193962.558391509
"266",300614.364417892
"267",233400.760721227
"268",252143.790508242
"269",93079.6105938269
"270",111044.305350359
"271",168792.075013583
"272",190635.779973881
"273",327351.521776872
"274",161480.75537434
"275",278811.8307259
"276",387639.871289871
"277",-28365.2872470688
"278",260908.803999067
"279",202833.590512906
"280",121727.369162558
"281",112675.044313971
"282",30176.7500708168
"283",162310.204188887
"284",42656.7643505629
"285",274459.587172362
"286",142759.840676744
"287",309431.076171539
"288",202724.878766108
"289",300249.500077953
"290",169090.926265575
"291",74713.9605674012
"292",216706.745622707
"293",427979.928348998
"294",256035.964087764
"295",224763.516132118
"296",249017.755105847
"297",373087.841215131
"298",434577.268308128
"299",153616.910408346
"300",139055.041221995
"301",212450.93661767
"302",312498.033041062
"303",241343.92306789
"304",113351.474332632
"305",288879.294455361
"306",268659.960392031
"307",258982.418429682
"308",80736.6476302732
"309",140358.491342945
"310",136865.159167585
"311",348388.82510356
"312",124619.693898785
"313",249129.12759707
"314",203965.900110271
"315",250189.530409179
"316",217309.083358981
"317",311627.263386852
"318",197058.883726049
"319",452324.471952604
"320",111545.549674187
"321",171416.993845935
"322",196465.750092015
"323",120600.100267451
"324",99981.2395715552
"325",372016.290129322
"326",8447.35710837141
"327",217874.189884681
"328",123906.992176554
"329",310925.022475426
"330",334140.902909546
"331",339367.486253106
"332",178133.583769265
"333",248157.405231174
"334",407174.50453725
"335",236498.03742092
"336",81391.058911075
"337",230956.053986096
"338",268476.153154447
"339",310429.050427903
"340",237719.935447336
"341",362863.442106628
"342",234718.731874775
"343",275847.258333716
"344",87564.9904125498
"345",251111.876192316
"346",152263.450626506
"347",190091.408458946
"348",320320.258158012
"349",336527.008184639
"350",290016.168807901
"351",205688.738210748
"352",186249.215641738
"353",371129.673603373
"354",189844.643904052
"355",97299.9699991125
"356",196706.090281051
"357",72477.1296964422
"358",263184.47041967
"359",247995.521399804
"360",182585.396654994
"361",255724.860796227
"362",102120.415038911
"363",153431.340775102
"364",124877.149552246
"365",262105.93720565
"366",138627.891196165
"367",651818.45989342
"368",102426.941844612
"369",135851.108685812
"370",131067.851042427
"371",67828.6213776895
"372",182015.274326292
"373",231636.725453498
"374",450324.155807985
"375",230608.415062019
"376",326312.717066702
"377",158251.454398463
"378",109723.339677984
"379",116012.568833769
"380",365752.925737617
"381",178223.944698033
"382",224870.249156709
"383",75635.1734423443
"384",162960.383836825
"385",215332.406964176
"386",232419.83224779
"387",304784.917878563
"388",302399.485948937
"389",178903.957820123
"390",155781.257351337
"391",157314.538813493
"392",198295.362259554
"393",213983.519805455
"394",338041.841732754
"395",218401.729945454
"396",277599.499634298
"397",271063.493450642
"398",261209.712222211
"399",142932.860115644
"400",332186.371206421
"401",260878.756887496
"402",508708.010417284
"403",285424.328972142
"404",250337.043973731
"405",235661.160330129
"406",123782.256768611
"407",287414.787329479
"408",304713.521662029
"409",188146.732548775
"410",137149.872139947
"411",180890.583989756
"412",239601.726789752
"413",271880.622836202
"414",336750.083118105
"415",163166.486140837
"416",283730.150910931
"417",228702.678493768
"418",101249.432751243
"419",314588.307758193
"420",253877.310026248
"421",258412.060255062
"422",163705.581370089
"423",177952.99293675
"424",262628.731497782
"425",451440.089554484
"426",122528.591485058
"427",NA
"428",91400.0640138445
"429",132482.261429935
"430",82632.4968769385
"431",-67344.8536962075
"432",189992.586835383
"433",181766.117094282
"434",302468.524348182
"435",236707.490861878
"436",130587.161904939
"437",406904.521227446
"438",102358.087333137
"439",145591.005989983
"440",252763.939701568
"441",146384.955170696
"442",336872.509098655
"443",255709.700298647
"444",130421.079928477
"445",170428.349836277
"446",135981.855772456
"447",189780.825451821
"448",249690.145142323
"449",209019.559904826
"450",340291.69756876
"451",261449.290562479
"452",78419.7506080744
"453",143123.258882222
"454",NA
"455",98992.8314056883
"456",137056.367162765
"457",297911.995716597
"458",136661.937612175
"459",403419.744609525
"460",260015.407695772
"461",242920.498260097
"462",166055.955987934
"463",159048.042434382
"464",243297.605249012
"465",259364.401286808
"466",249264.323504891
"467",149868.958543745
"468",147276.895105419
"469",271886.341213982
"470",244202.319212721
"471",128046.775751196
"472",171448.257728569
"473",92516.9212699286
"474",321889.799128547
"475",175505.150168288
"476",251234.149447652
"477",193481.531279784
"478",196826.323033471
"479",140032.059331176
"480",191702.461982499
"481",269428.582759746
"482",88248.2393108481
"483",294829.413659004
"484",210600.352163191
"485",149982.36187222
"486",121511.104598838
"487",118640.651037715
"488",245323.926942789
"489",157747.337913966
"490",252505.914740623
"491",90649.3765801238
"492",339209.291066835
"493",341067.893748689
"494",130812.321787063
"495",71859.0088651287
"496",89751.6888022948
"497",241240.884817779
"498",139668.063845837
"499",323774.224593958
"500",42635.8205724513
"501",464017.525642929
"502",287914.380393945
"503",158511.418734705
"504",225173.295945623
"505",238820.53185158
"506",405962.963857148
"507",180012.547525427
"508",210724.647562518
"509",147260.99451674
"510",135728.609394835
"511",329419.785081637
"512",166468.886039669
"513",215717.966211701
"514",307178.744987765
"515",234172.655999515
"516",131067.366724731
"517",146404.819776719
"518",337401.790821631
"519",63549.4554319081
"520",244575.203114251
"521",200334.03511292
"522",316013.853923948
"523",223412.386012561
"524",234365.815158227
"525",58471.785402634
"526",284968.711589619
"527",268954.878640193
"528",154384.271975545
"529",277600.439901285
"530",48347.0335757205
"531",83219.2964131775
"532",99778.6792828277
"533",228592.185348927
"534",231328.959158224
"535",255593.973601982
"536",NA
"537",182443.703390529
"538",195157.097203008
"539",337606.223650089
"540",194908.679689127
"541",132746.723638139
"542",170435.070357249
"543",318521.176968933
"544",354938.349096524
"545",197675.235419941
"546",213437.162506895
"547",211318.014093964
"548",158529.171829733
"549",177335.638411547
"550",676744.889543645
"551",251371.731534059
"552",215205.877049203
"553",309372.794130313
"554",387279.622878458
"555",256662.397054042
"556",67580.6750211557
"557",259721.1427992
"558",159416.117875792
"559",201423.769174644
"560",163116.507884525
"561",194006.354103816
"562",381710.345087745
"563",261888.301120481
"564",222616.782953098
"565",228647.912626982
"566",217810.835409595
"567",196277.477296662
"568",231715.233982983
"569",124328.170904444
"570",206921.97692108
"571",229430.837269705
"572",303750.754091692
"573",141584.641482057
"574",362624.867505907
"575",279234.733725924
"576",141047.599843086
"577",272591.405742089
"578",257796.571731266
"579",255933.202162167
"580",125740.644971229
"581",213173.707517598
"582",73537.8251549111
"583",60208.5336248434
"584",107639.744844085
"585",200469.194149416
"586",206851.7800313
"587",204365.467880376
"588",186578.808775401
"589",4171.75955606406
"590",95498.023505349
"591",168600.965144653
"592",125593.599877935
"593",223005.028888695
"594",156336.868544641
"595",177303.642468982
"596",255469.478981891
"597",102518.771761499
"598",112103.386961137
"599",117397.001081426
"600",156517.385913259
"601",312469.010671294
"602",338290.90288639
"603",77821.0661555014
"604",157189.432251027
"605",185386.900247765
"606",180682.453133043
"607",67645.9536815081
"608",114068.986139345
"609",82389.0958035745
"610",105464.409774351
"611",262772.739649845
"612",238388.532895522
"613",294425.595310298
"614",13432.9108649491
"615",135844.015760859
"616",109991.791962037
"617",297341.871364778
"618",291107.654785512
"619",282278.04115796
"620",138788.017316653
"621",104232.78831306
"622",248055.576527864
"623",203254.205971987
"624",79276.4047371595
"625",73539.5851005169
"626",55161.1028570635
"627",373238.248512663
"628",177051.733864929
"629",168260.927555574
"630",190310.75432313
"631",284902.483476585
"632",32186.075767958
"633",182795.758860172
"634",255562.683085639
"635",303249.093218414
"636",46388.5792082542
"637",139410.089274087
"638",122998.810303244
"639",143390.399890152
"640",97427.5780994498
"641",-7563.44211037745
"642",476049.316099783
"643",132796.353104998
"644",161291.454282779
"645",320622.275269121
"646",235610.329717672
"647",348518.816010391
"648",184694.200370191
"649",170073.071010542
"650",325054.51502369
"651",145959.75991978
"652",222087.750418306
"653",179824.74494288
"654",83860.2817284929
"655",356244.781791797
"656",260193.735490027
"657",80226.2510506991
"658",206574.523281547
"659",74064.4492960346
"660",192323.202023091
"661",194480.067656339
"662",249847.32602497
"663",298699.897648466
"664",43633.3185234479
"665",337679.162207787
"666",243665.087917395
"667",210453.556082847
"668",252705.068252009
"669",222658.086064214
"670",243042.77240631
"671",141682.351637797
"672",162574.402902385
"673",109602.605236413
"674",171426.147120209
"675",182643.985499471
"676",114977.404533374
"677",237981.64645096
"678",259133.652708128
"679",167440.954462791
"680",229386.292804906
"681",141039.186555041
"682",139306.670636158
"683",292543.363867989
"684",202089.161439087
"685",147685.19115277
"686",148969.23631551
"687",NA
"688",238054.676826819
"689",365431.892851297
"690",203737.446088384
"691",422635.881989519
"692",243345.458696913
"693",242732.447919217
"694",301645.277793845
"695",194876.718692615
"696",226299.543785695
"697",76852.3832187534
"698",168362.182611798
"699",291408.202053085
"700",256115.726037357
"701",146006.770558533
"702",226210.64915899
"703",301035.983754683
"704",276737.987469797
"705",335819.992855709
"706",215110.732850546
"707",152145.600672994
"708",227299.820072205
"709",266635.718746071
"710",142790.027153907
"711",198122.665308927
"712",236504.76241803
"713",277257.67335379
"714",313861.720270304
"715",150802.034092776
"716",82778.9829699074
"717",133836.472015356
"718",247146.041865128
"719",262956.391624608
"720",148529.255208917
"721",110205.487868367
"722",243752.062714509
"723",127701.468946401
"724",225945.801732679
"725",89449.1332949823
"726",261724.196929097
"727",134025.167333108
"728",198892.624464453
"729",382240.103170632
"730",127032.912170705
"731",277274.696803414
"732",259177.154054857
"733",183845.506623181
"734",203544.668716311
"735",274735.276016575
"736",223616.345005889
"737",340486.412996699
"738",303333.429117717
"739",245039.25143497
"740",282124.489510246
"741",189060.491590464
"742",223768.126021834
"743",199189.494977411
"744",373110.839143436
"745",160355.480146558
"746",283293.37286171
"747",216518.958756136
"748",254989.809423811
"749",188495.356273555
"750",264388.19150294
"751",202655.712966906
"752",98156.0619446157
"753",108159.676171852
"754",130458.708766641
"755",101211.102549764
"756",160229.076475722
"757",220189.650759607
"758",323499.252326472
"759",184836.949642298
"760",216259.017971692
"761",272794.703306926
"762",212590.231646711
"763",72500.8246586067
"764",251326.523941796
"765",202963.527005653
"766",242034.275788359
"767",285199.449001618
"768",115730.056203904
"769",326707.801859872
"770",265287.912689643
"771",280120.489338657
"772",117384.42848111
"773",219412.137003715
"774",216157.967499479
"775",155092.472608393
"776",113152.931457998
"777",157190.883664718
"778",297030.534112626
"779",210162.975415347
"780",266241.37572276
"781",209809.564434487
"782",310834.729107605
"783",317547.34361254
"784",344925.90727122
"785",84187.6237933016
"786",275272.677292242
"787",166886.038176395
"788",281618.003827831
"789",200737.817555754
"790",191685.42109891
"791",118911.743471177
"792",125548.811797581
"793",196180.035737545
"794",192719.097051397
"795",-6145.57479123067
"796",140165.68299082
"797",401291.350894762
"798",109308.364256307
"799",238341.301650415
"800",313445.290216652
"801",193799.95853408
"802",199406.451896099
"803",162537.318487509
"804",303176.909671531
"805",154543.443446272
"806",135534.026666543
"807",242557.849679119
"808",237915.350400407
"809",156061.089730798
"810",119252.195383475
"811",227781.552742531
"812",403599.223312019
"813",313116.50853735
"814",269992.93136346
"815",233142.09702454
"816",172914.925747832
"817",250703.692347908
"818",102284.637099834
"819",287944.056788412
"820",105219.993457875
"821",119392.092891785
"822",262833.544876585
"823",291045.242688897
"824",NA
"825",150535.346197342
"826",275390.707267174
"827",86651.2808955801
"828",144088.330495258
"829",151573.213932341
"830",226229.690806797
"831",193013.841364696
"832",205441.07522
"833",297653.604251338
"834",277538.12074366
"835",181007.15175795
"836",201429.426359743
"837",297221.044126818
"838",180776.936312165
"839",399212.300914272
"840",234940.951163179
"841",23750.3004459591
"842",191631.578345047
"843",245630.979243308
"844",251909.296713265
"845",370108.840342261
"846",181134.217595722
"847",168815.404872521
"848",204714.34008103
"849",217755.35778551
"850",238983.093931957
"851",295695.304603073
"852",133261.914735518
"853",190652.789402129
"854",142131.376893333
"855",27341.439368215
"856",292093.268191607
"857",105836.758684721
"858",129899.994712414
"859",210907.834001623
"860",108769.524791712
"861",235285.830936987
"862",205888.006477539
"863",102334.700450216
"864",77167.714094733
"865",108294.140101632
"866",155963.249416381
"867",215532.430038905
"868",123663.046592356
"869",230524.664944168
"870",248923.22024057
"871",284492.782171234
"872",166318.816461006
"873",188656.883109587
"874",203031.565924093
"875",229104.47483471
"876",441.72172439986
"877",186762.119267877
"878",268488.294074419
"879",439215.49886923
"880",-1293.72595073163
"881",141185.182201424
"882",438720.159184758
"883",161522.416289869
"884",241535.459872503
"885",163680.250006754
"886",231120.532524401
"887",199378.877928164
"888",112470.22744358
"889",211044.697756555
"890",138085.107978081
"891",217615.530007709
"892",192752.570840843
"893",119704.032391818
"894",83824.9340717757
"895",126850.869875286
"896",72782.6784803502
"897",82094.939073084
"898",197273.513301843
"899",144214.009927033
"900",53912.6236575322
"901",233201.28998972
"902",394161.154551106
"903",160673.28048121
"904",121628.334330798
"905",74535.8076582117
"906",223181.612563161
"907",279487.371712821
"908",529991.135337119
"909",10029.3868313793
"910",244205.301132602
"911",NA
"912",260079.468413504
"913",NA
"914",180457.679715482
"915",191767.680732357
"916",257280.694424781
"917",267806.168078702
"918",39941.8793713232
"919",85417.7409268239
"920",183497.03566968
"921",268544.627903526
"922",183374.841933315
"923",270703.984264213
"924",208959.099208983
"925",160997.952554527
"926",275281.096729642
"927",223826.838172997
"928",207423.163554927
"929",232254.071615768
"930",266291.108258357
"931",84762.5747793868
"932",199645.101919354
"933",275780.833435084
"934",250472.006032084
"935",181212.787602609
"936",171171.888641801
"937",82716.6130813998
"938",141934.29778139
"939",261561.857344487
"940",276352.091918234
"941",153730.856857018
"942",72105.7430331445
"943",242123.82390394
"944",175694.320091281
"945",200959.421943884
"946",228521.111681216
"947",220653.108576313
"948",305046.460412302
"949",187664.229461926
"950",187140.387482
"951",271098.395869141
"952",328629.30822612
"953",215941.172528885
"954",243342.806574792
"955",148220.477476963
"956",374477.064173213
"957",179648.805199138
"958",374479.89023842
"959",202637.234678693
"960",269796.834176603
"961",282682.319244292
"962",203620.486796042
"963",114671.142794452
"964",202918.895602924
"965",179246.474435804
"966",309501.665276294
"967",123577.385104689
"968",240755.299650192
"969",282460.77289828
"970",280160.308941577
"971",174843.966903763
"972",175954.15600488
"973",297346.296021757
"974",153093.066988869
"975",282379.312456588
"976",77679.8734972623
"977",189171.98659748
"978",216727.643868506
"979",149951.717690068
"980",191910.15674706
"981",347632.420914274
"982",118300.133238538
"983",329374.158584663
"984",281275.683803291
"985",72601.3601402153
"986",109697.632038366
"987",132605.417608733
"988",157406.440020184
"989",258527.952612431
"990",419013.907130496
"991",374023.305805154
"992",290029.632915185
"993",114330.119396289
"994",127492.652587588
"995",655757.590506231
"996",211596.382464433
"997",202266.596270683
"998",189225.382515309
"999",197064.584830464
"1000",271949.624145439
"1001",153924.225153646
"1002",103035.563123613
"1003",188179.350191318
"1004",27204.0279955937
"1005",155193.195976477
"1006",118352.163852896
"1007",216211.114589058
"1008",333632.795556452
"1009",144342.131812922
"1010",63868.6560055318
"1011",412949.213395252
"1012",105451.413016547
"1013",266536.813375581
"1014",67762.7207372859
"1015",141868.146264324
"1016",115428.190450098
"1017",224381.570618407
"1018",304340.698820404
"1019",266278.351304705
"1020",198729.14134947
"1021",NA
"1022",364485.080839077
"1023",110056.611371057
"1024",89177.1438901008
"1025",135832.659554234
"1026",142219.191892892
"1027",178727.495292148
"1028",184969.250771011
"1029",242512.442265406
"1030",280210.192693687
"1031",175596.101866392
"1032",24437.5006327186
"1033",139182.436388505
"1034",245278.930819829
"1035",386597.638281899
"1036",209869.171589377
"1037",155012.774381983
"1038",179636.677356697
"1039",263472.843367775
"1040",NA
"1041",137879.707138396
"1042",132067.095865908
"1043",152551.140824095
"1044",316241.607345782
"1045",253790.020455355
"1046",232192.654522306
"1047",198924.138416835
"1048",272278.338481521
"1049",201139.855776881
"1050",279877.813764139
"1051",175070.528212951
"1052",180523.451610771
"1053",195841.210409266
"1054",254677.568586289
"1055",402688.57719524
"1056",261786.024456783
"1057",230786.178445027
"1058",229348.916444479
"1059",67586.7006636529
"1060",18687.8519065964
"1061",216020.366785149
"1062",146740.542649304
"1063",198652.538342817
"1064",190249.518915344
"1065",237445.440803069
"1066",164692.188867944
"1067",256758.9988162
"1068",211131.264313574
"1069",230590.328280943
"1070",428.968419008277
"1071",44190.9975226933
"1072",173241.995119632
"1073",157484.43395237
"1074",163002.32699279
"1075",265361.889051233
"1076",296455.764288715
"1077",163919.818530546
"1078",126658.883690518
"1079",490578.74853145
"1080",209479.917607576
"1081",246989.592788756
"1082",166353.015456417
"1083",223331.867420474
"1084",114055.911993045
"1085",337256.952724554
"1086",123523.532976152
"1087",203496.210588094
"1088",245224.787945782
"1089",318773.980481429
"1090",284332.189181529
"1091",127327.650831226
"1092",266664.286709621
"1093",9429.39691834048
"1094",24166.0040155511
"1095",210111.300776702
"1096",121964.701232675
"1097",395138.400527513
"1098",256580.307707977
"1099",132573.510712005
"1100",192022.040239798
"1101",95531.6900595665
"1102",270823.260163233
"1103",274707.340730927
"1104",264015.48896275
"1105",157212.106372372
"1106",264512.124075097
"1107",99122.1230428114
"1108",326550.711757463
"1109",139438.25472018
"1110",275841.8495766
"1111",356799.102662223
"1112",154645.464301388
"1113",378410.46812328
"1114",197089.712301734
"1115",190735.893887673
"1116",329100.329205705
"1117",137691.607915722
"1118",274040.934581088
"1119",154582.150505344
"1120",306070.915121633
"1121",90495.6048508415
"1122",214760.736257373
"1123",133365.41780155
"1124",249448.287419888
"1125",3357.12893586355
"1126",68880.5258957274
"1127",245716.844524193
"1128",179396.445716868
"1129",122706.959293344
"1130",154534.238183703
"1131",287043.842202181
"1132",183897.061558296
"1133",265156.480393202
"1134",223978.15121899
"1135",91984.6971664642
"1136",247502.090736203
"1137",268862.67297402
"1138",39535.9345197957
"1139",230354.208866204
"1140",322379.473106078
"1141",183633.768064737
"1142",90550.6682265002
"1143",226859.936285495
"1144",258142.47584518
"1145",99513.7260410192
"1146",242343.817870581
"1147",114777.440276947
"1148",157592.254507304
"1149",94047.2853219727
"1150",240567.185473538
"1151",179758.522362471
"1152",204303.603382806
"1153",156778.682511219
"1154",230831.316461985
"1155",314047.06909833
"1156",355102.917079145
"1157",216925.256700652
"1158",193002.682562406
"1159",251887.280214263
"1160",208762.556688376
"1161",213032.376617524
"1162",207604.999353597
"1163",196182.841795199
"1164",129529.0624123
"1165",253912.497809452
"1166",90367.3580187173
"1167",333278.594028319
"1168",164759.719039198
"1169",195761.307533367
"1170",217084.496471193
"1171",189623.56280849
"1172",204421.83507771
"1173",364972.363941892
"1174",297846.375878948
"1175",283423.228934215
"1176",368978.400572643
"1177",NA
"1178",143943.811512132
"1179",201539.398790006
"1180",95221.3051499376
"1181",160319.163671649
"1182",164495.593073019
"1183",244450.461301575
"1184",225168.966462193
"1185",362781.436848266
"1186",232552.147671218
"1187",131132.957808087
"1188",227550.10323589
"1189",292474.442573042
"1190",226278.760390673
"1191",383550.638211392
"1192",220821.228030927
"1193",377249.735322221
"1194",330262.809923702
"1195",253234.290070974
"1196",146901.86669514
"1197",152108.732691366
"1198",202946.468998118
"1199",186944.442053634
"1200",176862.445328904
"1201",108521.450716627
"1202",23540.4498928138
"1203",89171.9516814284
"1204",159985.176260628
"1205",281699.985740029
"1206",155960.078195239
"1207",217901.47381589
"1208",222972.782418043
"1209",253048.231700278
"1210",249092.860829434
"1211",331748.221187857
"1212",131177.100858863
"1213",132901.886754885
"1214",130037.565403651
"1215",109147.945001437
"1216",169113.080025832
"1217",201197.856714823
"1218",277070.75054482
"1219",35968.2299147117
"1220",385124.621267731
"1221",223287.243125187
"1222",246698.557616539
"1223",195841.389322215
"1224",247502.483433597
"1225",103605.971721231
"1226",293663.876137862
"1227",125194.220357693
"1228",184875.117445635
"1229",187982.610964542
"1230",228896.770722955
"1231",178832.879003714
"1232",135525.65418337
"1233",186066.975874917
"1234",259736.121466026
"1235",255027.345331082
"1236",249966.598500056
"1237",224300.890735277
"1238",226355.502623595
"1239",176412.987566733
"1240",82652.1643517984
"1241",202007.027946075
"1242",212075.852440401
"1243",124993.800384131
"1244",271949.637376638
"1245",168354.256803043
"1246",156524.215100867
"1247",156125.662325076
"1248",435931.553100803
"1249",244833.074372075
"1250",205582.313539984
"1251",291230.406762053
"1252",58625.832516462
"1253",245827.70211613
"1254",215213.350107817
"1255",169077.161313586
"1256",179534.570468776
"1257",277555.470873749
"1258",184875.44967635
"1259",256944.884266525
"1260",115694.144960699
"1261",271066.937952444
"1262",247114.975295707
"1263",157396.644297365
"1264",228550.022856553
"1265",233881.051302756
"1266",263045.428537998
"1267",325443.856161008
"1268",254135.487609052
"1269",254147.489896331
"1270",197235.267993368
"1271",249824.447813028
"1272",174977.852719059
"1273",220693.853166369
"1274",127659.577338176
"1275",218184.598697364
"1276",104024.564142849
"1277",71957.710780252
"1278",268338.141367807
"1279",96413.1528745808
"1280",253368.502489343
"1281",113020.232641407
"1282",117517.303843382
"1283",192343.98331559
"1284",297798.137981253
"1285",280050.3200517
"1286",249557.334700478
"1287",156891.174516449
"1288",81945.4941215635
"1289",146923.055396948
"1290",126002.450758841
"1291",276118.924377733
"1292",172592.614570556
"1293",209646.616515869
"1294",247306.639647568
"1295",228578.177387981
"1296",122818.836065609
"1297",219528.619085838
"1298",294928.112429195
"1299",73494.9671049577
"1300",NA
"1301",88128.73260588
"1302",257815.313561762
"1303",505512.883291493
"1304",187468.556294338
"1305",191582.782647189
"1306",271493.337254181
"1307",360516.417377101
"1308",269097.885972331
"1309",193373.274573833
"1310",321031.419748597
"1311",367227.404298574
"1312",211000.366737107
"1313",253019.058668581
"1314",287288.877057854
"1315",173559.005424401
"1316",276381.939700944
"1317",203678.735119692
"1318",95784.5078308976
"1319",136974.522000221
"1320",121084.958132976
"1321",169138.835569592
"1322",362634.486010242
"1323",146220.730274433
"1324",85997.4863648069
"1325",NA
"1326",281681.3841646
"1327",47439.3845361106
"1328",187019.532016514
"1329",61011.2264293369
"1330",143863.873462188
"1331",280759.30522658
"1332",223680.830326131
"1333",234603.585735631
"1334",430354.313901213
"1335",303287.366506948
"1336",283753.645501813
"1337",219872.426589734
"1338",19301.9252627648
"1339",256262.918377494
"1340",71683.0926131502
"1341",183134.23867157
"1342",200513.427188957
"1343",148982.150259699
"1344",139940.492811748
"1345",155547.97043109
"1346",161217.870175919
"1347",252450.485236701
"1348",168257.986635526
"1349",222672.894715548
"1350",249325.358937907
